Month,Users_Free,Users_Starter,Users_Pro,Users_Ent,Revenue,Total_Hours,COGS,Fixed_Costs,Net_Profit
1,8,16,12,4,4743.84,2224.0,444.8,6540,-2240.96
2,16,33,25,8,9546.67,4558.0,911.6,6580,2055.07
3,25,50,37,12,14300.5,6800.0,1360.0,6620,6320.5
4,33,66,50,16,19093.34,9124.0,1824.8,6660,10608.54
5,41,83,62,20,23847.17,11358.0,2271.6,6700,14875.57
6,50,100,75,25,29649.0,13900.0,2780.0,6750,20119.0
7,58,116,87,29,34392.84,16124.0,3224.8,6790,24378.04
8,66,133,100,33,39195.67,18458.0,3691.6,6830,28674.07
9,75,150,112,37,43949.5,20700.0,4140.0,6870,32939.5
10,83,166,125,41,48742.34,23024.0,4604.8,6910,37227.54
11,91,183,137,45,53496.17,25258.0,5051.6,6950,41494.57
12,100,200,150,50,59298.0,27800.0,5560.0,7000,46738.0
13,105,210,157,52,61738.9,29040.0,5808.0,7020,48910.9
14,110,220,165,55,65227.8,30580.0,6116.0,7050,52061.8
15,115,231,173,57,67727.69,31930.0,6386.0,7070,54271.69
16,121,243,182,60,71285.57,33598.0,6719.6,7100,57465.97
17,127,255,191,63,74843.45,35266.0,7053.2,7130,60660.25
18,134,268,201,67,79459.32,37252.0,7450.4,7170,64838.92
19,140,281,211,70,83076.19,39030.0,7806.0,7200,68070.19
20,147,295,221,73,86703.05,40826.0,8165.2,7230,71307.85
21,155,310,232,77,91387.9,42940.0,8588.0,7270,75529.9
22,162,325,244,81,96121.75,45146.0,9029.2,7310,79782.55
23,171,342,256,85,100875.58,47388.0,9477.6,7350,84047.98
24,179,359,269,89,105678.41,49722.0,9944.4,7390,88344.01
